node_id,lon,lat
5548872,4.4161292,43.843706
5548931,4.3548117,43.8124524
5548936,4.3440704,43.8097002
5548942,4.3411456,43.8088725
5549614,4.3203378,43.8029504
20931564,4.3404537,43.8157806
20931565,4.3403827,43.8156588
20931568,4.3405086,43.8152977
20931569,4.3406567,43.8152124
20931571,4.3409278,43.8151623
20931574,4.3414182,43.8153875
20931575,4.3414771,43.8155757
20931579,4.3411987,43.8159177
20931584,4.3477065,43.8180316
20931589,4.347149,43.8178189
20931592,4.3472909,43.8175972
20931593,4.3473525,43.8175695
20931597,4.3478313,43.8176732
20931598,4.3478769,43.8177663
20931601,4.3481934,43.8161261
20931602,4.3482465,43.8160151
20931607,4.3487607,43.8162426
20931608,4.3487113,43.8162793
20931614,4.3474606,43.8174222
20931629,4.3479384,43.817566
20931635,4.3418817,43.8158813
20931652,4.3447462,43.816878
20931654,4.3435275,43.8164691
20931663,4.3496336,43.8139176
20931664,4.3495696,43.8138299
20931666,4.3496023,43.813682
20931670,4.3499759,43.8136154
20931673,4.3501075,43.8137635
20931675,4.3500648,43.8138923
20931678,4.3498751,43.8139799
20931691,4.3533032,43.8143889
20931693,4.3533004,43.8142937
20931696,4.3534621,43.8142033
20931699,4.3536625,43.8143113
20931701,4.3536274,43.8144214
20931703,4.3535424,43.8144663
20931705,4.3533882,43.814458
20931728,4.3283017,43.8235078
20931730,4.3280804,43.8237592
20931731,4.3279339,43.8237868
20931733,4.3275691,43.8236437
20931740,4.3290301,43.8221393
20931750,4.3279357,43.8232227
20931915,4.3521382,43.8192774
20931918,4.3522905,43.8190196
20931919,4.3523768,43.8189956
20931921,4.3526268,43.8190297
20931923,4.352756,43.8191421
20931926,4.3526603,43.8193943
20931928,4.3525265,43.8194433
20931929,4.3522738,43.8194135
20931931,4.3525688,43.8187086
20931943,4.3518561,43.8191336
20931964,4.3576077,43.8200723
20931973,4.3585115,43.8198897
20931977,4.3584401,43.8202877
20931980,4.3579481,43.8203862
20931982,4.3576904,43.820258
20931996,4.3529942,43.8192122
20932002,4.3563127,43.8196767
20932006,4.3343666,43.8141195
20932008,4.3345005,43.8139187
20932009,4.3346528,43.8138519
20932011,4.3350246,43.8138824
20932014,4.3352143,43.8140765
20932016,4.3351346,43.8143347
20932017,4.3350681,43.8143841
20932019,4.3347777,43.8144545
20932023,4.3343748,43.81421
20932045,4.3652582,43.8218821
20932064,4.3699863,43.8242915
20932067,4.3696851,43.8245397
20932086,4.3677095,43.8231282
20932092,4.3810284,43.8310901
20932094,4.3811532,43.8309012
20932098,4.3817326,43.8309519
20932104,4.3815703,43.8313595
20932107,4.3810891,43.8312566
20932110,4.3881217,43.8371041
20932114,4.387973,43.8367007
20932117,4.3883634,43.8366284
20932121,4.3885564,43.8369752
20932123,4.3884524,43.8370672
20932127,4.3880091,43.836558
20932176,4.3879267,43.8356661
21763422,4.3262379,43.8226063
67108770,4.347394,43.8102726
67108848,4.3418057,43.8095232
67108850,4.3485366,43.8106887
67108878,4.3481188,43.8099816
67108923,4.3516764,43.8083222
67108941,4.352682,43.8117806
67152218,4.34712,43.8103317
67152227,4.3500901,43.8114986
67152246,4.3452111,43.8119976
67152249,4.3435585,43.813022
67152251,4.3448867,43.8120435
77162399,4.3591956,43.8342837
80459154,4.4122151,43.8345225
80459155,4.4170485,43.8338928
88119271,4.3219886,43.87043
88131382,4.3235139,43.8690307
88131411,4.3173617,43.8471381
88131428,4.3228491,43.8310667
88131430,4.3253696,43.8267259
88131434,4.3274695,43.8239022
88131438,4.3219838,43.8705912
88131450,4.3229697,43.8310995
88131477,4.3191598,43.8506429
88131480,4.3170953,43.8433829
88131513,4.3236378,43.8613564
88983935,4.349685,43.8330756
88983950,4.3483671,43.8376096
88988788,4.3489376,43.8381445
88988792,4.3467611,43.8380812
88988793,4.3475291,43.8353467
88988794,4.3484674,43.8347392
88988797,4.348395,43.8349618
88988798,4.3476502,43.8374918
88988800,4.3478689,43.834729
88988802,4.3452354,43.8378294
88988803,4.3477629,43.8346854
88988806,4.3451246,43.837812
88988815,4.3463078,43.8364925
88988818,4.3464151,43.8365351
88988819,4.3471651,43.8366627
88988821,4.3478738,43.8367749
88988824,4.3485646,43.836894
88988826,4.3492822,43.8370162
88988829,4.3501155,43.8371522
88988830,4.3501363,43.8364047
88988831,4.3501746,43.8362665
88988840,4.3503122,43.8361539
88988845,4.3504161,43.8361395
88988860,4.3508169,43.8362086
88988868,4.3509392,43.8363915
88988871,4.3508927,43.8365379
88988876,4.3506822,43.8366434
88988892,4.3502913,43.8365796
88988900,4.3494754,43.8364062
88988904,4.34871,43.8364234
88988910,4.3479782,43.8364274
88988914,4.3472305,43.8364442
88988915,4.3465008,43.8364506
88988918,4.3474035,43.8353152
88988921,4.3482164,43.8355771
88988924,4.3488883,43.8358132
88988927,4.349568,43.8360592
88990400,4.3509127,43.8344018
88990401,4.3500169,43.8345014
88990403,4.3492369,43.8346147
88990411,4.3505727,43.8355721
88990415,4.3497503,43.8354446
88990418,4.349038,43.8353452
88990421,4.3491743,43.834882
88990425,4.3498773,43.8349859
88990428,4.3507049,43.8351117
88992618,4.351999,43.8321739
95881134,4.3529053,43.8276317
95881135,4.3521169,43.8273892
95881137,4.3514364,43.8271841
95881138,4.3515577,43.8267584
97452093,4.313395,43.8152123
97577355,4.3607801,43.8345522
97895851,4.3524605,43.8305463
97895886,4.3526156,43.8300581
97895893,4.352658,43.8299354
97895901,4.3511844,43.8280518
97895903,4.3546057,43.8286032
97934147,4.3531452,43.8268345
97934195,4.3439937,43.8285157
97934204,4.3433923,43.8287173
97934209,4.3429287,43.8286551
97934226,4.3409246,43.8276395
97934235,4.3396117,43.8272842
97934245,4.3381216,43.8275945
97934247,4.3378448,43.8274673
97934248,4.3374656,43.8279357
97956316,4.3596179,43.8404836
97956330,4.358596,43.8404249
97956341,4.3577403,43.840322
97956350,4.3566845,43.8401724
97956392,4.3501302,43.8384645
97956440,4.3460869,43.8379713
97956453,4.3474753,43.8381861
97956470,4.3483451,43.8382228
97956491,4.3497522,43.8384017
97967833,4.3330148,43.8269598
