node_id,lon,lat
16812973,-4.4808332,48.4123508
16812975,-4.4829063,48.4095605
16812977,-4.4832728,48.4093589
16812981,-4.4851347,48.4079958
16812984,-4.4840962,48.4011667
16812988,-4.4890794,48.3979558
16812994,-4.4863573,48.3913484
16812995,-4.4870721,48.3907825
16812997,-4.4895464,48.3903561
16812998,-4.4877472,48.3892745
33438703,-4.5382035,48.395221
33438713,-4.537086,48.395832
33438722,-4.5326838,48.3967287
33438730,-4.5306608,48.3975302
33438732,-4.5249158,48.4007089
33438735,-4.5245811,48.4010851
33438737,-4.5282622,48.3988588
33438748,-4.5223878,48.4066611
33438763,-4.5137957,48.4101812
33438768,-4.5083098,48.4126805
33438771,-4.5076557,48.4127491
33438774,-4.5015833,48.4129652
33438781,-4.4912303,48.4131104
33438789,-4.4866319,48.413252
33438798,-4.5256285,48.4002633
33438801,-4.5243216,48.4017712
33438809,-4.5219978,48.4077508
33438817,-4.5143495,48.4099355
33438828,-4.4777953,48.4131845
33438833,-4.4759319,48.4125488
33438836,-4.4758426,48.4124211
33438839,-4.4756521,48.412476
33438842,-4.4757615,48.4126126
33438847,-4.473361,48.4116595
33438858,-4.4709082,48.4103648
33438866,-4.4698868,48.4093353
33438874,-4.4682408,48.4086006
33438886,-4.4680404,48.4087629
33438962,-4.4841067,48.3915266
33438979,-4.4848759,48.3919487
33438991,-4.4862423,48.3912951
33494868,-4.4744605,48.3993253
33494871,-4.4741465,48.3991594
33494927,-4.4738979,48.3989511
33516035,-4.4737014,48.3971975
33516038,-4.4753482,48.3963337
33516040,-4.4748664,48.3945892
33516041,-4.4744933,48.3932509
33516043,-4.4761223,48.3916041
33516044,-4.4754917,48.38957
33516048,-4.4825412,48.3877772
33516049,-4.4808085,48.3881395
33516053,-4.482334,48.387117
33516056,-4.4824442,48.3871589
33516057,-4.4825208,48.3872566
33516063,-4.4823391,48.3863964
33516064,-4.4828113,48.3853192
33516072,-4.4858838,48.3833325
33516074,-4.4855625,48.3833827
33516075,-4.4854541,48.3832723
33516076,-4.4854875,48.3831715
33516077,-4.4881342,48.382928
33516078,-4.488097,48.3828748
33516080,-4.4853322,48.3825476
33516081,-4.4885002,48.3812187
33516084,-4.4856043,48.3824463
33522613,-4.4719154,48.3998441
33522617,-4.4711771,48.4006866
33522622,-4.4749734,48.3999107
33522640,-4.4752006,48.3997581
33522649,-4.4733934,48.4024397
33522652,-4.4751317,48.4036404
33522776,-4.4746361,48.4020367
33522816,-4.4780547,48.4012527
33522819,-4.4766722,48.4003705
33522823,-4.4764597,48.4005368
34139671,-4.4784327,48.4003894
34139673,-4.4786756,48.399736
34139674,-4.4793148,48.398918
34139675,-4.4803119,48.3983386
34139676,-4.4806601,48.3980915
34139677,-4.4812632,48.3976149
34139679,-4.4820057,48.3970319
34139680,-4.4787921,48.3995816
34139681,-4.4826059,48.3976655
34139682,-4.4832708,48.3984724
34139684,-4.4837654,48.3986661
34139692,-4.4947559,48.3938521
34139694,-4.4944457,48.3938747
34139695,-4.4934847,48.3941238
34139708,-4.5194935,48.3866993
34139714,-4.5283423,48.3866642
34139719,-4.5285176,48.3866391
34139722,-4.5287631,48.3873012
34139724,-4.528773,48.3871937
34139737,-4.5330066,48.3859726
34139779,-4.5052071,48.3916227
34139834,-4.5156816,48.3865181
34139835,-4.5154605,48.3866294
34139837,-4.5154138,48.386292
34139858,-4.5360602,48.3844282
34139859,-4.4890813,48.3975499
34139860,-4.4889137,48.3978482
34139864,-4.4895478,48.3977788
34139870,-4.4810033,48.3953829
34139872,-4.4804475,48.3957484
34139874,-4.4798549,48.3953379
34139877,-4.4798293,48.3949545
34139888,-4.4762659,48.3996225
34139890,-4.4771164,48.4000006
34139891,-4.4845424,48.4008458
34139893,-4.484,48.4011211
34139915,-4.4867369,48.3992337
34139923,-4.4889951,48.4010039
34139938,-4.4888913,48.3976996
34139957,-4.4935864,48.3941638
34139959,-4.4932493,48.3940123
34139997,-4.4792393,48.395742
34140006,-4.4782294,48.396405
34140007,-4.4766591,48.3974359
34140009,-4.4671021,48.401638
34140012,-4.4728058,48.3977771
34140013,-4.471769,48.3984911
34140017,-4.4716579,48.3991024
34140020,-4.470971,48.3990803
34140022,-4.4659322,48.3994777
34140027,-4.4650934,48.3977239
34140030,-4.466212,48.3961815
34140032,-4.4671125,48.3956734
34140039,-4.4701881,48.391017
34140044,-4.4714413,48.3867572
34140046,-4.4713908,48.3866563
34140047,-4.4712176,48.3865705
34140049,-4.4708306,48.3867034
34140050,-4.4708503,48.3868676
34140055,-4.4751661,48.3859446
34140056,-4.4753762,48.3858958
34140058,-4.4753258,48.3858302
34140060,-4.4751417,48.3858798
34140066,-4.4759113,48.3856888
34140067,-4.4758701,48.3856359
34140069,-4.4761154,48.3856145
34140072,-4.4810165,48.3847305
34140075,-4.4812493,48.3847083
34140077,-4.4811805,48.3846228
34140092,-4.5235062,48.3873311
34207591,-4.4806842,48.3951636
34212249,-4.4699752,48.3889801
34212274,-4.4710876,48.3872819
34212338,-4.471426,48.3864993
