node_id1,node_id2,speed,type,length
32908072,793742508,110,oneway,847.9134062550935
32908073,415275889,90,oneway,153.57550164667379
32908073,32908072,90,oneway,615.4673727956058
32908075,32908073,90,oneway,767.5547952988218
32908092,3464825467,50,oneway,149.1550492405268
32908092,281222569,110,oneway,590.9478004006912
83567486,415315274,110,oneway,288.7048694575419
83567486,275016155,50,oneway,157.27976427288374
83567512,276593307,50,oneway,40.80172910334053
83567512,389145642,50,oneway,22.176038405695586
83567514,555080410,50,oneway,28.214650550816383
83567514,389145364,50,oneway,25.929335338386593
83567537,3063394270,50,oneway,91.51454226557394
83567537,348238636,50,oneway,28.0097820630643
83567551,6906567827,50,oneway,120.77541920618623
83567551,281429227,50,oneway,23.449547179892413
83567555,484575545,50,oneway,110.12323574016949
83567559,484575517,50,oneway,430.2604218439796
83567559,484575391,50,oneway,28.521726559542483
83567561,484575592,50,oneway,42.09463749518314
83567561,484575572,50,oneway,66.60870876379808
83567564,1508547233,50,oneway,17.082304400634342
83567564,348239110,50,oneway,34.793467240993245
83567584,288135692,50,oneway,27.143109825986652
83567584,484577062,default,oneway,33.05423948557084
83567610,722870747,50,twoway,21.601606034905643
722870747,83567610,50,twoway,21.601606034905643
83567610,821570877,default,twoway,69.42530420305131
821570877,83567610,default,twoway,69.42530420305131
83567647,510141855,70,twoway,19.792020155105547
510141855,83567647,70,twoway,19.792020155105547
83567647,510145280,default,oneway,27.424898065289504
83567655,870558697,90,oneway,49.189253967106744
83567655,288134205,90,twoway,22.03604125671089
288134205,83567655,90,twoway,22.03604125671089
255454932,6178872554,110,oneway,932.4243905616509
255455075,255454932,90,oneway,693.0990646467542
255455075,560768113,70,oneway,243.30052124836578
255455109,275359194,90,oneway,326.0497936943917
255455109,9902738187,50,oneway,294.6691147510389
275007763,389438911,default,oneway,382.58418105213053
275007928,500902610,50,twoway,141.82206599161032
500902610,275007928,50,twoway,141.82206599161032
275007971,1477587043,default,oneway,20.986798785125384
275007971,1477587064,30,twoway,27.224201642339384
1477587064,275007971,30,twoway,27.224201642339384
275007978,934868388,50,twoway,19.353467033076548
934868388,275007978,50,twoway,19.353467033076548
275007978,500906045,50,oneway,22.89118335744336
275008018,1477587289,50,oneway,11.691886761823588
275008018,500906038,50,twoway,13.047849058498278
500906038,275008018,50,twoway,13.047849058498278
275008037,275007978,50,oneway,22.297098623246576
275008037,500906045,50,twoway,15.31047370977108
500906045,275008037,50,twoway,15.31047370977108
275008070,275008647,50,oneway,32.279716895453284
275008480,415315217,50,twoway,10.352640848227141
415315217,275008480,50,twoway,10.352640848227141
275008480,288122821,50,twoway,79.20593617920707
288122821,275008480,50,twoway,79.20593617920707
275008647,415315202,50,twoway,11.64167265985805
415315202,275008647,50,twoway,11.64167265985805
275008847,415315209,50,oneway,22.73358324881142
275008926,415315201,default,oneway,58.082234560370146
275009223,345522717,30,twoway,48.28956686127576
345522717,275009223,30,twoway,48.28956686127576
275009279,7004708983,50,twoway,15.291977913230287
7004708983,275009279,50,twoway,15.291977913230287
275009279,275009223,30,oneway,53.156207614434734
275009312,348329609,50,twoway,45.3780605676851
348329609,275009312,50,twoway,45.3780605676851
275009613,275009279,50,twoway,110.97376285703346
275009279,275009613,50,twoway,110.97376285703346
275009653,339948078,50,twoway,71.89119442691864
339948078,275009653,50,twoway,71.89119442691864
275009745,843153122,50,twoway,47.32935338075885
843153122,275009745,50,twoway,47.32935338075885
275009988,345522907,30,twoway,31.096485600483536
345522907,275009988,30,twoway,31.096485600483536
275009988,345522752,30,oneway,101.5116138807722
275010090,275010115,50,oneway,41.615653440312094
275010090,276593549,50,oneway,26.975681163316377
275010115,83567512,50,oneway,18.785571720429434
275010115,415315292,50,oneway,195.56320344141776
275010149,292533623,50,twoway,46.8356732766804
292533623,275010149,50,twoway,46.8356732766804
275010255,1305199699,50,twoway,24.798965252107244
1305199699,275010255,50,twoway,24.798965252107244
275010255,9022732791,50,oneway,64.94019558650025
275016155,3934006711,50,twoway,8.644632466918285
3934006711,275016155,50,twoway,8.644632466918285
275355522,6239420297,50,twoway,51.882238425773
6239420297,275355522,50,twoway,51.882238425773
275355536,7216095015,50,twoway,19.768310125242213
7216095015,275355536,50,twoway,19.768310125242213
275355675,10931916460,30,oneway,4.98998691018477
275355675,3043540183,30,oneway,67.94724308480143
275355721,2785269545,30,oneway,94.85722772935861
275355778,1508627480,30,oneway,11.229434248089248
275355778,275355803,30,oneway,16.749238760831197
275355803,276622695,20,oneway,95.4688504524559
275355803,1508627480,30,oneway,14.820086293869565
275355846,275355864,30,oneway,52.697460095037
275355864,275671871,30,oneway,17.3475292348049
275355864,275356029,30,oneway,20.601274288021617
275356029,275672243,30,twoway,41.86826267139574
275672243,275356029,30,twoway,41.86826267139574
275356029,1423064919,30,oneway,17.677765593793154
275356217,275674142,30,twoway,9.276774290168266
275674142,275356217,30,twoway,9.276774290168266
275356754,4506404084,30,twoway,20.844423507207008
4506404084,275356754,30,twoway,20.844423507207008
275356754,292062673,30,twoway,17.52392128287042
292062673,275356754,30,twoway,17.52392128287042
275356758,275356754,30,oneway,27.050201382438445
275356758,288121364,30,twoway,31.999909067940557
288121364,275356758,30,twoway,31.999909067940557
275357171,275357498,50,oneway,118.64376434166697
275357171,8399119135,30,oneway,40.67975602531003
275357366,309135675,30,twoway,45.13012071718464
309135675,275357366,30,twoway,45.13012071718464
275357366,1175188380,default,twoway,27.8944564065295
1175188380,275357366,default,twoway,27.8944564065295
275357498,275357567,50,oneway,61.24875804577158
275357567,2338203746,50,oneway,21.254257168885356
275358004,275358022,50,oneway,552.203901577865
