node_id,lon,lat
638670,-0.3437857,43.3297335
26630674,-0.4243204,43.3191994
26630675,-0.4234823,43.32007
26630676,-0.4211074,43.3226115
26865567,-0.4053168,43.3073673
26865573,-0.4025929,43.3084611
26865574,-0.402784,43.3083083
26865576,-0.4016152,43.307738
26865577,-0.4021254,43.3073423
26865579,-0.4010673,43.3077334
26865581,-0.4002927,43.3083839
26865590,-0.4007633,43.3069379
26865591,-0.4005544,43.3071505
26865592,-0.400286,43.3073401
26865593,-0.4003144,43.3069978
26866310,-0.4051785,43.3069856
26866329,-0.4057285,43.3077483
26866335,-0.4052544,43.3081482
26866337,-0.405151,43.3080556
26866343,-0.4060844,43.3080672
26866369,-0.4076401,43.3093548
26866373,-0.4066474,43.3100361
26866378,-0.4057663,43.3105585
26866397,-0.4017235,43.3051828
26866400,-0.4012128,43.3049166
26866405,-0.4028474,43.3057026
26866406,-0.4032132,43.3054
26866407,-0.4029207,43.305019
26866410,-0.3978738,43.302138
26866423,-0.4072692,43.3129891
26866427,-0.4052014,43.3081017
26867961,-0.4069812,43.3140247
26867973,-0.4024068,43.3145289
26867975,-0.3968765,43.3137172
26867982,-0.3981906,43.3119648
26867984,-0.4064877,43.3137383
26867985,-0.4062239,43.3133857
26867987,-0.4058037,43.313851
26867991,-0.4040287,43.3109371
26867992,-0.4037865,43.3107242
26867994,-0.4019726,43.3096076
26867995,-0.4026001,43.3091447
26868001,-0.4124429,43.3109219
26868005,-0.4110574,43.3128348
26868013,-0.409065,43.3079264
26868016,-0.4081786,43.3069534
26868021,-0.3951806,43.3134977
26868028,-0.394696,43.3134548
26868030,-0.3940486,43.3130116
26868034,-0.3945364,43.3123485
26868035,-0.394327,43.3119208
26868041,-0.4086038,43.3144671
26868048,-0.4114674,43.3157927
26868055,-0.4097998,43.3146912
26868058,-0.4102604,43.3142534
26868063,-0.4088624,43.3141896
26868070,-0.4090502,43.3138967
26868078,-0.4104491,43.3128091
26868094,-0.4135096,43.3138862
26868099,-0.4128024,43.3135556
26868119,-0.408231,43.3086477
26868408,-0.3990394,43.3070073
26868409,-0.3986703,43.3071055
26868411,-0.3985476,43.3066989
26868413,-0.3979354,43.3068095
26868416,-0.3990924,43.3068814
26868418,-0.4011038,43.3056353
26868550,-0.3780425,43.3157474
26868551,-0.3778741,43.3148517
26868554,-0.3773074,43.3118138
26868555,-0.3770395,43.310368
26868556,-0.3767959,43.3090991
26868557,-0.3766075,43.3080987
26868558,-0.3763946,43.3070062
