node_id,lon,lat
26209760,1.8531051,47.8947998
26209980,1.8547522,47.8932131
26210000,1.853473,47.8947254
26210031,1.8549137,47.8932841
34670827,1.8551534,47.9014
34670854,1.857126,47.9118979
47876886,1.8809332,47.9509479
86873130,1.8738824,47.8987462
86873148,1.8753301,47.8989532
86873150,1.8825512,47.9001017
243208065,1.9223688,47.887229
243208073,1.9208485,47.8866958
243208519,1.9234788,47.8857787
243208533,1.9195334,47.889187
243208536,1.9188759,47.8904529
243208539,1.9185331,47.8916394
245787466,1.9002611,47.9115758
245787467,1.9031313,47.9120221
245787554,1.899967,47.912626
245787687,1.9020758,47.9147154
245787688,1.901783,47.9143257
245787968,1.9022773,47.9209953
245790500,1.9013274,47.9148205
245790502,1.9015369,47.915957
246786501,1.9212214,47.8858354
246786505,1.9230221,47.8862418
246786507,1.9219704,47.8842901
246786508,1.9220159,47.8842372
246813643,1.9214992,47.8846779
246813644,1.9184371,47.8822364
246813647,1.9185335,47.8821423
246813663,1.8930038,47.9466853
246815132,1.9199315,47.8823503
246815145,1.9239066,47.8839681
247369356,1.8938723,47.9389292
247369367,1.8983978,47.9273192
247369369,1.8970624,47.9305747
247369373,1.895144,47.9372751
247369486,1.8943983,47.9383003
247369489,1.8946379,47.9379757
247369491,1.8943951,47.9378209
247369492,1.8942314,47.9378125
247369493,1.8939962,47.9379014
247369503,1.8946172,47.9379443
247369527,1.8959787,47.9349557
247374176,1.8931597,47.9409328
247374188,1.8939254,47.9381304
247374222,1.8729318,47.9474642
247374231,1.8803581,47.9439972
247374255,1.8850648,47.941798
247374265,1.8932926,47.9390498
247374274,1.893752,47.9388365
247374280,1.872896,47.9473862
247374282,1.877079,47.945488
247374288,1.8932467,47.9389555
247374290,1.8895212,47.9401407
248483915,1.9194451,47.8880408
248483917,1.9194768,47.8874229
248483918,1.9208779,47.8882386
248483919,1.9196911,47.8875408
248483920,1.9199329,47.8874166
248483922,1.9202021,47.8878225
248483924,1.9204313,47.8877003
248483971,1.9341634,47.8672658
248483978,1.9307365,47.8730168
248483988,1.9244998,47.8830531
248483993,1.924622,47.8858031
248581605,1.9204635,47.9433522
248581607,1.9208081,47.9431696
248581646,1.9146976,47.924689
248581658,1.9178947,47.9197741
248581697,1.9153888,47.9119749
248581701,1.9156448,47.9125383
248581706,1.9167725,47.9152167
248581710,1.9170427,47.9161824
248581712,1.9172071,47.9170828
248581719,1.9176586,47.9185761
248581726,1.9132805,47.9457218
248581732,1.9135077,47.9455192
248581734,1.9133709,47.945346
248581742,1.9140172,47.945157
248581756,1.9200564,47.9432499
248814946,1.9761085,47.9245879
248814971,1.9618209,47.9243044
248814988,1.9866507,47.9254675
248815049,1.9564275,47.9246687
248815050,1.956289,47.924527
248815061,1.9522746,47.9236984
248815066,1.9565554,47.9232373
248815073,1.9397747,47.924269
248815075,1.9402378,47.9239025
248815076,1.9406632,47.9238863
248815079,1.9412157,47.9243186
248815081,1.9411734,47.9245291
248815082,1.9408725,47.9247756
248815089,1.9451771,47.9236008
248815091,1.9397734,47.9269877
248815099,1.9396116,47.9266033
248815105,1.9397961,47.9245082
248816864,1.924623,47.918899
248816865,1.9243748,47.9187284
248816866,1.9245053,47.918493
248816869,1.9249409,47.9188443
248816875,1.9232444,47.911767
248816890,1.9248752,47.9198825
248816895,1.9236835,47.9147288
248816896,1.9239807,47.9147088
249480733,1.9213327,47.906387
249480734,1.9208691,47.9065856
249480740,1.9182429,47.9069679
249480743,1.9171707,47.9034819
249480744,1.8993129,47.9009204
249480748,1.9006191,47.9007524
249480750,1.9012752,47.9005909
249480752,1.9159629,47.9060457
249480753,1.9169061,47.9075217
249480759,1.9158786,47.9074349
