node_id,lon,lat
21459405,-0.5752439,44.8350313
21459406,-0.5750027,44.8350742
21459408,-0.5742867,44.8350266
21459415,-0.5713117,44.8350279
21459428,-0.5654321,44.836994
21459431,-0.5652077,44.8368181
21459435,-0.563931,44.8355752
21459444,-0.558558,44.8316119
21459451,-0.5550499,44.8296115
25214067,-0.6220915,44.8768044
29557156,-0.6072599,44.7900259
29557196,-0.6109421,44.7900119
29557670,-0.6702163,44.8468166
29557775,-0.6669164,44.807051
29558436,-0.6289366,44.7854858
29558811,-0.6030699,44.7890986
29558821,-0.6051074,44.7893585
29559290,-0.5485072,44.7799067
29559497,-0.581457,44.7814592
29563814,-0.6643067,44.8545849
29565834,-0.605303,44.7904374
29566154,-0.6235107,44.8824859
29566390,-0.6540677,44.8453799
29589882,-0.6198817,44.8570381
29589884,-0.613971,44.8553076
35225028,-0.5304623,44.805711
35225042,-0.5382007,44.7968317
35225044,-0.5407851,44.7898716
35225082,-0.5408602,44.7887399
35225087,-0.5382993,44.7963472
35225094,-0.535453,44.8000008
35225145,-0.5371334,44.8176772
35225147,-0.5382676,44.8192618
35225191,-0.5419095,44.8225543
35225194,-0.5412203,44.8209982
35225209,-0.5319627,44.8078388
35225212,-0.531936,44.8075582
35225222,-0.5356107,44.8000509
35225235,-0.5306064,44.8045837
35225279,-0.5323487,44.806272
35225281,-0.5334448,44.8043166
35225289,-0.5352172,44.8044029
35225296,-0.5334588,44.8037173
35225297,-0.530887,44.8054312
35226604,-0.5311573,44.8024658
35228936,-0.5235824,44.8101342
35228941,-0.5215345,44.8120136
35228946,-0.5205648,44.8144611
35228968,-0.5179486,44.8210145
35228975,-0.5119646,44.8235398
35229011,-0.5015221,44.8400901
35229052,-0.5045186,44.868009
35229149,-0.5158728,44.8218888
35229155,-0.520422,44.8189994
35229170,-0.5218589,44.8118506
35232745,-0.5706579,44.8482027
35232762,-0.5672905,44.8383737
35232764,-0.5657062,44.837009
35232768,-0.5640584,44.8355188
35232776,-0.5586703,44.8315188
35232777,-0.5654603,44.8366499
35232782,-0.5657066,44.8368385
35232783,-0.5602527,44.8324541
35232786,-0.558822,44.8317709
35232795,-0.557034,44.8316768
35232797,-0.5575136,44.8317018
35232800,-0.5581463,44.8317835
35232802,-0.5572771,44.8318756
35232813,-0.5557232,44.8307663
35232843,-0.5553556,44.8303566
35232846,-0.555599,44.8307081
35234290,-0.5485343,44.8375545
35234316,-0.5424267,44.8421428
35234319,-0.5394372,44.8449257
35234327,-0.537498,44.8480596
35234334,-0.5391588,44.856075
35234366,-0.539562,44.844973
35234370,-0.5425037,44.8422383
35234383,-0.5456978,44.8387278
35234833,-0.5507646,44.8340059
35234874,-0.5531979,44.8352553
35234881,-0.5532624,44.83518
35237795,-0.5360963,44.8464324
35237812,-0.5389591,44.8464853
35237815,-0.5398126,44.8465071
35237822,-0.5406491,44.8465797
35237831,-0.5416205,44.8474236
35237868,-0.5397283,44.8464218
35237872,-0.5388376,44.8464178
35237885,-0.5374964,44.8465143
35237892,-0.5365951,44.846444
35237958,-0.5379233,44.8466005
35238005,-0.5376376,44.8478895
35238040,-0.5391247,44.8469987
35238043,-0.5391398,44.8469678
35238068,-0.5375806,44.8468713
35238083,-0.5375997,44.8471482
35238086,-0.5375298,44.8473893
35238104,-0.537655,44.85077
35238110,-0.5377124,44.8505194
35238120,-0.5381222,44.8522243
