node_id,lon,lat
126096,4.7838624,45.7892789
143365,4.893962,45.7242023
143370,4.9008083,45.7283977
143381,4.8993169,45.7290758
143385,4.9017489,45.7285385
143386,4.9035785,45.7281666
143403,4.8775406,45.7338265
143408,4.8763392,45.734208
143412,4.8628174,45.738481
143413,4.8648442,45.7378325
143415,4.8638746,45.7405718
143416,4.8648175,45.7423937
143417,4.8653524,45.7434152
143418,4.8662118,45.74512
143421,4.8683205,45.7445879
143435,4.862994,45.7408693
143439,4.8537112,45.7435071
195222,4.836902,45.7572235
195228,4.8296142,45.7592213
195229,4.8301642,45.7546299
195231,4.8337706,45.7533116
195232,4.8339066,45.7530715
195234,4.8386402,45.7512129
195235,4.8401349,45.7503096
195236,4.8411203,45.7497245
195237,4.8428234,45.7487134
195239,4.8451082,45.7473632
195241,4.8488579,45.7452345
195242,4.849161,45.7455544
195244,4.8500623,45.7464713
195246,4.8518984,45.7443927
195249,4.8521067,45.749826
195250,4.8481937,45.7510527
195251,4.8466255,45.7521209
195252,4.8440857,45.7538146
195253,4.8429456,45.7553177
195256,4.8336422,45.7478086
195259,4.8599095,45.7511969
195261,4.8615881,45.7539258
195262,4.8604722,45.7499195
195266,4.8644645,45.7500008
195268,4.8650444,45.7507295
195270,4.8653924,45.7515565
195271,4.8685939,45.7512027
195274,4.8681255,45.7489016
195275,4.8676335,45.747923
195276,4.8652133,45.7476254
195277,4.8681383,45.7466235
195279,4.8704734,45.7440532
195282,4.8408271,45.7559836
581678,4.8436624,45.7482152
2086847,4.7854272,45.7694489
2086848,4.783986,45.7684693
2086849,4.7830675,45.7678549
2086854,4.7792201,45.7659615
2086860,4.7724134,45.764914
7300862,4.8732228,45.7448729
7300867,4.8728497,45.743567
7387308,4.7816045,45.7466482
7387347,4.7823553,45.7462883
7387405,4.7816925,45.7456376
7393912,4.7864776,45.7456033
7393914,4.7843527,45.747642
7393915,4.7864594,45.7486485
7394428,4.7855231,45.7499468
7394439,4.785316,45.7502483
7394449,4.7840202,45.7494211
7394456,4.7836683,45.7498826
7394477,4.7833614,45.7497324
7394819,4.7928733,45.7534846
7394820,4.7960518,45.7543917
7394824,4.7956341,45.7530219
7394832,4.7922048,45.7502513
7394907,4.7977295,45.7558379
7394910,4.7976934,45.7564048
7394925,4.7969518,45.7563596
7395110,4.7890608,45.7506
7395306,4.7787814,45.7475404
7395346,4.7808296,45.7484379
7395468,4.7777147,45.7471441
7469500,4.8382368,45.7686277
7469501,4.8384656,45.7635164
7470129,4.8379393,45.7601703
7470130,4.8376296,45.7590967
8089058,4.780958,45.7499763
8089059,4.7818712,45.7521092
8089062,4.7813454,45.756842
8093774,4.8413741,45.7723002
8094003,4.7906412,45.7666531
8206700,4.7945229,45.7492326
8207199,4.7956851,45.7496154
8207493,4.7948185,45.7565471
8207506,4.796151,45.7562503
8209560,4.7897326,45.7532588
8209633,4.7895,45.7526441
8358135,4.8410595,45.759994
8433662,4.8058577,45.7561257
8433684,4.8029345,45.7562576
8433808,4.8103407,45.7571165
8433940,4.8122871,45.756665
8434031,4.8158781,45.7556909
8434042,4.8175492,45.7562522
8555939,4.7835898,45.744448
8555940,4.783154,45.7446283
8555965,4.7820787,45.7453881
8555986,4.7842003,45.7445297
8556067,4.7855504,45.7429172
8556077,4.7861293,45.7425798
8556083,4.786853,45.7430012
8556151,4.7815591,45.741009
8556162,4.782438,45.7409714
8556163,4.7831392,45.741314
8556170,4.7838393,45.7416636
8556173,4.7840246,45.7414945
8556188,4.7833164,45.7411542
8556189,4.7826309,45.7407897
8556215,4.7822952,45.7405977
8556365,4.7829682,45.7396208
8556380,4.782387,45.7389394
8556541,4.781816,45.7380368
8565332,4.7782684,45.7573746
8565632,4.7732162,45.7530779
8565683,4.7733579,45.7544829
8565863,4.7788536,45.7595433
8591152,4.7886292,45.7412289
8591222,4.7907764,45.7426795
8591228,4.7907974,45.7425714
8591568,4.7947131,45.7453048
8591630,4.7958508,45.7461612
8591689,4.7988005,45.7453056
8591905,4.797714,45.7412908
8591956,4.8035878,45.7409381
8592016,4.8048175,45.7404084
8592122,4.8060979,45.7426726
8592437,4.8124207,45.7547781
8593279,4.8089776,45.7555631
8593425,4.8046904,45.7533324
8686733,4.7728897,45.7396681
8686800,4.7761272,45.741182
8686901,4.777859,45.7425722
8687027,4.7787824,45.742139
8687052,4.7806372,45.7430738
8688846,4.7758418,45.744921
8698256,4.7878381,45.7436847
8698313,4.7906953,45.7455291
8698408,4.7931201,45.7485933
8698444,4.7892299,45.7468854
8698488,4.7883403,45.7464865
8698530,4.7920119,45.7463671
8698629,4.7836313,45.7457179
8698662,4.7844215,45.7446233
8698679,4.7831859,45.7460587
8698682,4.7835827,45.7463204
8698701,4.7827817,45.7467112
8700080,4.7933645,45.747325
8700165,4.7939398,45.7477579
8700818,4.7946171,45.7465771
8700826,4.7937344,45.7469317
8702682,4.7967342,45.7489496
8703997,4.8011454,45.7512254
8703998,4.7995819,45.7505287
8703999,4.8000396,45.7500703
8704008,4.8013766,45.7501487
8759292,4.7929622,45.7416229
8759358,4.7940362,45.7413159
8759462,4.7965699,45.7410852
8762756,4.79889,45.7456891
8762800,4.7990121,45.7465565
8801751,4.7889902,45.7413477
8876498,4.8019923,45.7515486
8876507,4.803271,45.7523184
8876514,4.8056341,45.7505237
8876576,4.8067121,45.7502241
8876586,4.8074259,45.7500367
8876604,4.8088834,45.7517939
8876727,4.8064759,45.7473649
8876974,4.8081677,45.7466472
8876997,4.8089915,45.7482116
8877005,4.8092395,45.7478914
8877181,4.8003324,45.7479412
8877258,4.7996776,45.7465773
8877429,4.8071058,45.7548474
8877564,4.8099198,45.7533151
8878002,4.8002114,45.7501205
8878008,4.8008113,45.7495116
8878160,4.800673,45.749423
8878222,4.8010596,45.7495135
8878415,4.8008769,45.7491106
8882937,4.7862705,45.7448802
8883029,4.7869244,45.7443754
8883185,4.7858006,45.7452577
8883256,4.7854432,45.7450909
8883263,4.7840899,45.746024
8888386,4.7718266,45.745571
8896400,4.7893574,45.7408565
8896689,4.7899757,45.7396238
8896805,4.7911479,45.7387319
8896905,4.792213,45.7378675
8896976,4.7933503,45.7368996
8897022,4.7921044,45.7358131
8897028,4.7921328,45.7354705
8897084,4.7949944,45.7350848
8897094,4.7955931,45.7359819
8897115,4.7956728,45.7350007
8897184,4.7965025,45.7357568
8897358,4.7977777,45.733986
8897361,4.796762,45.7332082
8901448,4.7955882,45.7335798
8901817,4.7946626,45.7343666
8901836,4.7953255,45.7341854
8902008,4.7946835,45.7337892
8902009,4.7960035,45.7325937
8902930,4.7887297,45.7322128
8902935,4.7885976,45.7315456
8902944,4.7884288,45.7308179
8902985,4.7899803,45.7309072
8902993,4.7905264,45.7315471
8903040,4.7898335,45.7309916
8903204,4.7913694,45.7300802
8903273,4.7914877,45.730159
8903342,4.7925196,45.7306989
8903347,4.7933884,45.7301414
8903434,4.7941689,45.7314372
8903680,4.7903021,45.7281472
8903695,4.7932135,45.7287624
8903828,4.7901745,45.7289856
8903901,4.7874685,45.7260767
8904047,4.7864575,45.7271356
8904680,4.7993902,45.7353319
8905983,4.806206,45.7392267
8906160,4.8056408,45.7381755
8906262,4.8050318,45.7364271
8906285,4.8044956,45.7366575
8906290,4.8045565,45.7364974
8906451,4.8023319,45.737163
9016091,4.799622,45.7355274
9016174,4.8003395,45.7352643
9016194,4.8008238,45.735548
9016199,4.8019802,45.7352044
9016209,4.8022302,45.7360273
9016242,4.8022563,45.7367829
9209278,4.7733991,45.7604297
9210399,4.7801526,45.7615536
9210412,4.7816521,45.7612469
9210460,4.7820264,45.7628026
9213739,4.7914238,45.7591471
9213756,4.7950516,45.7582323
9213826,4.7863913,45.762357
9214569,4.8282418,45.7491074
9214618,4.8367805,45.7468084
9214708,4.8472228,45.7434686
9214909,4.8657274,45.739582
9214911,4.8663083,45.7407068
9214915,4.8677313,45.7403478
9214919,4.8647954,45.7402118
9249417,4.8130561,45.7543193
9249808,4.8146716,45.7509026
9249817,4.8166536,45.751851
9250428,4.8194793,45.7523243
9250674,4.8203026,45.7515721
9250984,4.7934386,45.736835
9251154,4.794801,45.739443
9251159,4.7962561,45.7390359
9251165,4.7956812,45.7374078
9251169,4.7968161,45.7389253
9251358,4.791833,45.7403599
9252509,4.7998465,45.7416469
9252526,4.7997183,45.7423418
9252707,4.801525,45.7449404
9252842,4.7982328,45.7439121
9252858,4.7968155,45.7443334
9252863,4.7963319,45.7427302
9252991,4.7954851,45.7428091
9253048,4.7952885,45.7450079
9257184,4.796186,45.7549547
9257186,4.796148,45.754831
9257214,4.7967569,45.7558414
9257226,4.7963214,45.7549225
9257232,4.7962694,45.7548122
9257357,4.7947568,45.7547556
9259186,4.8027872,45.7551351
9259681,4.798071,45.7539592
9309696,4.7983747,45.7386133
9468865,4.7911758,45.7477033
9468882,4.7907445,45.7475203
9484454,4.8031406,45.7472639
9484463,4.803792,45.7472509
9484479,4.8029224,45.7466603
9484597,4.803915,45.7480707
13383951,4.829905,45.7475571
13383978,4.822422,45.750961
13383988,4.8293682,45.7483677
13445139,4.8021362,45.7638554
13445783,4.7836687,45.7892027
15856749,4.8308411,45.726678
15925416,4.8422624,45.7207743
15925418,4.842448,45.7188458
15925438,4.8498574,45.75044
15925440,4.8575942,45.7475048
15925442,4.8561536,45.7429311
15925446,4.8522383,45.7520881
15925447,4.8503431,45.7527626
15925451,4.8389361,45.7470428
15925452,4.840187,45.747555
16050050,4.835806,45.7602262
16050062,4.845017,45.7687957
16564346,4.8292752,45.7474128
16564347,4.8281988,45.7478586
16564349,4.8275162,45.7487811
16564350,4.8286825,45.7484401
16564353,4.8295178,45.748185
16564357,4.8275228,45.7453748
16564364,4.8186749,45.7341628
16564365,4.818207,45.7343406
16566895,4.8240371,45.7509331
16566897,4.8245761,45.7516818
16566903,4.8241579,45.7518196
16566904,4.8238288,45.7509664
16566907,4.8228671,45.7502329
16566908,4.8234197,45.7500512
16566910,4.8253349,45.7505144
16566918,4.8153975,45.7298062
16566920,4.815389,45.7294308
16566923,4.8154572,45.7282776
16566929,4.8141733,45.7259203
16566938,4.815878,45.7287696
16566942,4.815575,45.7290002
16566965,4.816008,45.7266918
16567304,4.8183639,45.7188478
18232178,4.8642064,45.7412123
18232179,4.866909,45.7418806
