L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation
15.905879999999998,15.905879999999998,15.905879999999998,15.905879999999998,45,45,45,45,0,0.0
32.382000000000005,32.382000000000005,32.382000000000005,32.382000000000005,76,76,76,76,0,0.0
38.72591999999999,38.72591999999999,38.72591999999999,38.72591999999999,94,94,94,94,0,0.0
43.06607999999999,43.06607999999999,43.06607999999999,43.06607999999999,109,109,109,109,0,0.0
26.466839999999987,26.466839999999987,26.466839999999987,26.466839999999987,62,62,62,62,0,0.0
22.444199999999988,22.444199999999988,22.444199999999988,22.444199999999988,58,58,58,58,0,0.0
40.59252,40.59252,40.59252,40.59252,94,94,94,94,0,0.0
28.983599999999996,28.983599999999996,28.983599999999996,28.983599999999996,72,72,72,72,0,0.0
25.81956,25.81956,25.81956,25.81956,63,63,63,63,0,0.0
25.143119999999996,25.143119999999996,25.143119999999996,25.143119999999996,61,61,61,61,0,0.0
37.736639999999994,37.736639999999994,37.736639999999994,37.736639999999994,96,96,96,96,1,0.0
26.581679999999995,26.581679999999995,26.581679999999995,26.581679999999995,64,64,64,64,1,0.0
21.6126,21.6126,21.6126,21.6126,53,53,53,53,1,0.0
43.721279999999986,43.721279999999986,43.721279999999986,43.721279999999986,106,106,106,106,1,0.0
14.476679999999998,14.476679999999998,14.476679999999998,14.476679999999998,42,42,42,42,1,0.0
29.83247999999999,29.83247999999999,29.83247999999999,29.83247999999999,73,73,73,73,1,0.0
50.64264,50.64264,50.64264,50.64264,120,120,120,120,1,0.0
16.956000000000003,16.956000000000003,16.956000000000003,16.956000000000003,46,46,46,46,1,0.0
15.851880000000001,15.851880000000001,15.851880000000001,15.851880000000001,44,44,44,44,1,0.0
20.01636,20.01636,20.01636,20.01636,52,52,52,52,1,0.0
30.256920000000004,30.256920000000004,30.256920000000004,30.256920000000004,77,77,77,77,2,0.0
33.64992000000001,33.64992000000001,33.64992000000001,33.64992000000001,78,78,78,78,2,0.0
19.76508,19.76508,19.76508,19.76508,43,43,43,43,2,0.0
20.710440000000002,20.710440000000002,20.710440000000002,20.710440000000002,54,54,54,54,2,0.0
37.66751999999998,37.66751999999998,37.66751999999998,37.66751999999998,96,96,96,96,2,0.0
21.011039999999998,21.011039999999998,21.011039999999998,21.011039999999998,44,44,44,44,2,0.0
43.48511999999999,43.48511999999999,43.48511999999999,43.48511999999999,110,110,110,110,2,0.0
50.86260000000001,50.86260000000001,50.86260000000001,50.86260000000001,116,116,116,116,2,0.0
18.52092,18.52092,18.52092,18.52092,41,41,41,41,2,0.0
30.476160000000004,30.476160000000004,30.476160000000004,30.476160000000004,77,77,77,77,2,0.0
30.864960000000004,30.864960000000004,30.864960000000004,30.864960000000004,78,78,78,78,3,0.0
32.71355999999999,32.71355999999999,32.71355999999999,32.71355999999999,87,87,87,87,3,0.0
39.07151999999999,39.07151999999999,39.07151999999999,39.07151999999999,89,89,89,89,3,0.0
34.50563999999999,34.50563999999999,34.50563999999999,34.50563999999999,81,81,81,81,3,0.0
21.041999999999994,21.041999999999994,21.041999999999994,21.041999999999994,44,44,44,44,3,0.0
22.586759999999995,22.586759999999995,22.586759999999995,22.586759999999995,56,56,56,56,3,0.0
19.14264,19.14264,19.14264,19.14264,53,53,53,53,3,0.0
24.037559999999996,24.037559999999996,24.037559999999996,24.037559999999996,63,63,63,63,3,0.0
31.223880000000005,31.223880000000005,31.223880000000005,31.223880000000005,69,69,69,69,3,0.0
27.01692,27.01692,27.01692,27.01692,70,70,70,70,3,0.0
41.340239999999994,41.340239999999994,41.340239999999994,41.340239999999994,98,98,98,98,4,0.0
27.95112,27.95112,27.95112,27.95112,72,72,72,72,4,0.0
27.943199999999997,27.943199999999997,27.943199999999997,27.943199999999997,71,71,71,71,4,0.0
21.322080000000007,21.322080000000007,21.322080000000007,21.322080000000007,49,49,49,49,4,0.0
26.62415999999999,26.62415999999999,26.62415999999999,26.62415999999999,67,67,67,67,4,0.0
19.94148,19.94148,19.94148,19.94148,47,47,47,47,4,0.0
