map_name,number_of_edges,number_of_nodes,neighbourhood_average,neighbourhood_max,neighbourhood_max_twoway_in,neighbourhood_max_twoway_out,neighbourhood_max_oneway_in,neighbourhood_max_oneway_out,neighbourhood_twoway_in_average,neighbourhood_twoway_out_average,neighbourhood_oneway_in_average,neighbourhood_oneway_out_average,neighbourhood_distribution
map_clermont_ferrand_,34634,15582,2.5353613143370555,7,7,7,6,6,2.066230265691182,2.0652676164805546,0.15389552047233987,0.15742523424464125,"[0.000e+00 4.043e+03 9.640e+02 8.880e+03 1.593e+03 9.000e+01 1.100e+01
 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"
map_dijon_,26765,11543,2.6265268994195616,7,7,7,6,6,2.1568916226284327,2.1530797886164774,0.15836437667850645,0.16564151433769383,"[0.000e+00 2.589e+03 6.910e+02 6.829e+03 1.335e+03 7.700e+01 1.900e+01
 3.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"
map_dinan_,6221,2632,2.553951367781155,5,5,5,4,4,2.3043313069908815,2.3069908814589666,0.056990881458966566,0.05661094224924012,"[   0.  544.  229. 1718.  139.    2.    0.    0.    0.    0.    0.    0.
    0.    0.    0.]"
map_dinard_,4231,1930,2.410362694300518,5,5,5,4,4,2.0994818652849743,2.100518134715026,0.09067357512953368,0.09170984455958549,"[   0.  593.  105. 1082.  147.    3.    0.    0.    0.    0.    0.    0.
    0.    0.    0.]"
map_dorlisheim_,1106,487,2.546201232032854,4,4,4,4,4,2.137577002053388,2.141683778234086,0.1273100616016427,0.1293634496919918,"[  0.  97.  52. 313.  25.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_gerzat_,2763,1194,2.6180904522613067,5,5,5,4,4,2.193467336683417,2.19179229480737,0.11809045226130653,0.12227805695142378,"[  0. 239.  66. 803.  84.   2.   0.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_guingamp_,4185,1796,2.4877505567928733,6,6,6,4,4,2.2711581291759466,2.2711581291759466,0.05734966592427617,0.05902004454342984,"[0.000e+00 4.640e+02 1.190e+02 1.093e+03 1.140e+02 5.000e+00 1.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"
map_hericourt_,2682,1194,2.4623115577889445,5,5,5,4,4,2.1390284757118927,2.137353433835846,0.10385259631490787,0.10887772194304858,"[  0. 316. 102. 690.  80.   6.   0.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_le_cailar_,495,234,2.3076923076923075,4,4,4,3,3,2.0854700854700856,2.0854700854700856,0.029914529914529916,0.029914529914529916,"[  0.  73.  27. 123.  11.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_limoges_,23868,10585,2.4704770902220123,7,7,7,5,5,2.154369390647142,2.1569201700519605,0.09957487009919698,0.09796882380727444,"[0.000e+00 2.888e+03 7.410e+02 6.108e+03 7.900e+02 5.300e+01 4.000e+00
 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"
map_lingolsheim_,3757,1606,2.493150684931507,6,6,6,4,4,2.2901618929016188,2.2907845579078456,0.046699875466998754,0.048567870485678705,"[  0. 422. 130. 899. 151.   3.   1.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_lorient_,7520,3159,2.617283950617284,8,8,8,5,5,2.286166508388731,2.286166508388731,0.09053497942386832,0.09433364988920545,"[0.000e+00 6.880e+02 1.810e+02 1.964e+03 3.110e+02 1.100e+01 2.000e+00
 1.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"
map_lunel_,6537,2856,2.51890756302521,6,5,5,6,6,2.1922268907563027,2.1946778711484596,0.09453781512605042,0.09418767507002801,"[0.000e+00 7.130e+02 2.100e+02 1.677e+03 2.510e+02 4.000e+00 1.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"
map_lyon_,61624,29737,2.4184685745031445,8,8,8,8,8,1.8632343545078522,1.8630998419477418,0.20516528230823552,0.20920065911154453,"[0.0000e+00 1.0045e+04 1.5600e+03 1.4044e+04 3.8740e+03 1.7700e+02
 2.5000e+01 6.0000e+00 6.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00]"
map_marsillargues_,1637,712,2.5224719101123596,4,4,4,4,4,2.2457865168539324,2.2429775280898876,0.05337078651685393,0.056179775280898875,"[  0. 166.  61. 432.  53.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_meaux_,7132,3131,2.5736186521877995,7,7,7,5,5,2.144362823379112,2.1398914084956884,0.12935164484190353,0.13797508783136378,"[0.000e+00 7.740e+02 1.930e+02 1.776e+03 3.740e+02 1.100e+01 2.000e+00
 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"
map_molsheim_,2818,1140,2.617543859649123,5,5,5,4,4,2.435964912280702,2.4324561403508773,0.035964912280701755,0.039473684210526314,"[  0. 250.  82. 664. 142.   2.   0.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_montpellier_centre_,2794,1273,2.388059701492537,6,6,6,4,4,2.05655930871956,2.05655930871956,0.12097407698350353,0.13825608798114689,"[  0. 444.  78. 574. 169.   6.   2.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_montpellier_,18220,8551,2.4757338323003157,8,7,7,8,8,1.9514676646006315,1.952286282306163,0.17366389895918605,0.17845865980587067,"[0.000e+00 2.500e+03 6.440e+02 4.327e+03 1.017e+03 5.100e+01 7.000e+00
 4.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"
map_nancy_,49525,21146,2.5885746713326396,7,7,7,6,6,2.2349853400170243,2.236924240991204,0.10488981367634541,0.10512626501465998,"[0.0000e+00 4.7850e+03 1.5340e+03 1.2527e+04 2.2070e+03 8.3000e+01
 9.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00]"
map_nimes_,28196,12554,2.5783017364983274,10,10,10,8,8,2.0658754181934045,2.0669109447188148,0.17675641229886888,0.1790664330093994,"[0.000e+00 3.093e+03 6.970e+02 7.250e+03 1.459e+03 4.500e+01 5.000e+00
 2.000e+00 2.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"
map_obernai_,3540,1508,2.553050397877984,5,5,5,4,4,2.2990716180371353,2.2950928381962865,0.04774535809018567,0.05238726790450928,"[  0. 373.  93. 878. 163.   1.   0.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_orleans_,39575,17653,2.4784455899847053,6,6,6,6,6,2.1368039426726337,2.135387752789894,0.10156913839007534,0.10644083158669915,"[0.000e+00 4.975e+03 1.147e+03 9.699e+03 1.779e+03 4.800e+01 5.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"
map_paris_banlieue_nord_,17232,8108,2.5148001973359646,9,9,9,6,6,1.9267390231869759,1.9273556980759743,0.19005920078934385,0.19795263936852492,"[0.000e+00 2.297e+03 4.670e+02 4.297e+03 9.850e+02 5.000e+01 9.000e+00
 1.000e+00 1.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"
map_paris_centre_,73090,39216,2.3938698490412076,8,8,8,7,7,1.5080324357405142,1.5103019175846593,0.3459812321501428,0.35347817217462263,"[0.0000e+00 1.4761e+04 2.0680e+03 1.5260e+04 6.5630e+03 4.5900e+02
 8.2000e+01 2.2000e+01 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00]"
map_pau_,35648,15316,2.5420475319926874,8,8,8,6,6,2.2575737790545833,2.2567902846696266,0.06881692347871507,0.07071036824236093,"[0.000e+00 3.730e+03 1.011e+03 9.178e+03 1.350e+03 3.800e+01 7.000e+00
 0.000e+00 2.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"
map_poitiers_,31021,13667,2.4963781371186067,7,7,7,7,7,2.1562157020560475,2.1542401404843785,0.1110704616960562,0.11553376746908613,"[0.000e+00 3.569e+03 9.750e+02 7.954e+03 1.116e+03 4.700e+01 4.000e+00
 2.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"
map_rennes_,41974,20024,2.3811426288453856,7,7,7,6,6,1.9546544147023572,1.9536056731921694,0.13803435876947662,0.14257890531362366,"[0.0000e+00 6.5830e+03 1.3800e+03 1.0058e+04 1.8770e+03 1.0300e+02
 2.1000e+01 2.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00]"
map_sommières_,2467,1066,2.4540337711069418,4,4,4,4,4,2.283302063789869,2.2851782363977486,0.03095684803001876,0.029080675422138838,"[  0. 288.  65. 654.  59.   0.   0.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_strasbourg_centre_,23702,10373,2.6796490889810083,8,8,8,6,6,2.0965969343487902,2.093512002313699,0.182493010700858,0.19145859442784152,"[0.000e+00 2.319e+03 7.990e+02 5.244e+03 1.925e+03 7.400e+01 8.000e+00
 3.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"
map_test_,26,11,2.3636363636363638,4,4,4,0,0,2.3636363636363638,2.3636363636363638,0.0,0.0,[0. 0. 8. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
map_vauvert_,2552,1062,2.583804143126177,5,5,5,4,4,2.349340866290019,2.354048964218456,0.05367231638418079,0.04896421845574388,"[  0. 253.  61. 628. 115.   5.   0.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_villages_ouest_amiens_,2862,1111,2.5994599459945995,5,5,5,3,3,2.568856885688569,2.567956795679568,0.004500450045004501,0.008100810081008101,"[  0. 237.  64. 718.  91.   1.   0.   0.   0.   0.   0.   0.   0.   0.
   0.]"
map_villages_strasbourg_ouest_,7263,2923,2.5617516250427643,6,6,6,4,4,2.4526171741361615,2.4526171741361615,0.028053369825521726,0.03215874101950051,"[0.000e+00 6.690e+02 2.070e+02 1.791e+03 2.490e+02 6.000e+00 1.000e+00
 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 0.000e+00]"
